GameMode,StringId,LastDay,InventoryMaxLv,InventoryMinLv,InventoryInitialLv,InitialCoin,DiamondGoal,DiamondReward,DiamondPaybackRate
Default,999034,100,11,1,1,10000,300000,100,0.0001
ShortGame,999039,30,11,1,1,10000,100000,30,0.0001
Endless,999036,999,11,1,1,10000,5000000,1000,0.00002
Poverty,999040,100,11,1,1,1000,100000,100,0.0002
ShowMeTheMoney,999035,100,11,1,1,50000,1500000,100,0.00002
ProdigalSon,999041,100,11,1,1,10000,200000,150,0.001
ProdigalSons,999042,100,11,1,1,10000,150000,150,0.001
BigInventory,999043,100,11,3,3,10000,250000,100,0.0001
SmallInventory,999044,100,1,1,1,10000,150000,100,0.0002
IsAnyoneThere,999045,100,11,1,1,10000,250000,150,0.0002
