Id,ItemName,ItemType,ItemDescription,ImageFileName,MaxCount,InventoryOccupancy,EncounterProbability,MaxOnsaleCount
10001,당근,1,20001,carrot,999,1,90,100
10002,옥수수,1,20002,corn,999,1,90,100
10003,계란,1,20003,egg,999,1,90,100
10004,생선,1,20004,fish,999,1,90,100
10005,마늘,1,20005,garlic,999,1,90,100
10006,대파,1,20006,greenonion,999,1,90,100
10007,허브,1,20007,herbs,999,1,90,100
10008,버섯,1,20008,mushroom,999,1,90,100
10009,감자,1,20009,potato,999,1,90,100
10010,양배추,1,20010,cabbage,999,1,90,100
10011,해초,1,20011,seaweed,999,1,90,100
10012,토마토,1,20012,tomato,999,1,90,100
10013,무,1,20013,turnip,999,1,90,100
10014,호두,1,20014,walnut,999,1,90,100
10015,벼,1,20015,wheat,999,1,90,100
10016,사과,2,20016,apple,999,2,80,100
10017,벌꿀,2,20017,honey,999,2,80,100
10018,레몬,2,20018,lemon,999,2,80,100
10019,우유,2,20019,milk,999,2,80,100
10020,오렌지,2,20020,orange,999,2,80,100
10021,맥주,3,20021,beer,999,1,85,100
10022,빵,3,20022,bread,999,1,85,100
10023,치즈,3,20023,chese,999,1,85,100
10024,계란 후라이,3,20024,fried egg,999,1,85,100
10025,와인,3,20025,wine,999,1,85,100
10026,가방,4,20026,backpack,999,1,80,100
10027,포션,4,20027,potion,999,1,80,100
10028,망토,4,20028,cape,999,1,80,100
10029,밧줄,4,20029,rope,999,1,80,100
10030,낚싯대,4,20030,fishing rod,999,1,80,100
10031,나침반,4,20031,compass,999,2,70,100
10032,주사위,4,20032,dice,999,2,70,100
10033,거대 망치,4,20033,greeat hammer,999,2,70,100
10034,거울,4,20034,mirror,999,2,70,100
10035,방패,4,20035,shield,999,2,70,100
10036,책_1,5,20036,book_1,999,3,70,100
10037,책_2,5,20037,book_2,999,3,70,100
10038,책_3,5,20038,book_3,999,3,70,100
10039,전문 서적_1,5,20039,technical book_1,999,5,65,100
10040,전문 서적_2,5,20040,technical book_2,999,5,65,100
10041,가리비,6,20041,clam,1,1,30,1
10042,크리스탈,6,20042,crystal,1,1,30,1
10043,아뮬렛,6,20043,amulet,1,1,30,1
10044,금 열쇠,6,20044,golden key,1,1,30,1
10045,은 주괴,6,20045,silver ingot,1,1,30,1
10046,금 반지,6,20046,golden ring,1,2,30,1
10047,고대 투구,6,20047,ancient helmet,1,3,30,1
10048,고대 단검,6,20048,ancient dagger,1,5,30,1
10049,금 주괴,6,20049,gold ingot,1,6,30,1
10050,다이아몬드,6,20050,diamond,1,8,30,1
