Id,MinPrice,MaxPrice,MinChangable,MaxChangable
20001,95,1025,5,100
20002,66,1393,5,100
20003,83,1272,5,100
20004,34,514,5,100
20005,92,249,5,100
20006,82,993,5,100
20007,86,1287,5,100
20008,100,667,5,100
20009,100,514,5,100
20010,35,1270,5,100
20011,40,1152,5,100
20012,55,731,5,100
20013,69,729,5,100
20014,59,1419,5,100
20015,96,375,5,100
20016,86,1155,5,100
20017,34,366,5,100
20018,82,640,5,100
20019,45,767,5,100
20020,81,1271,5,100
20021,36,1391,5,100
20022,66,583,5,100
20023,99,983,5,100
20024,64,662,5,100
20025,40,1211,5,100
20026,53,337,5,100
20027,71,1273,5,100
20028,44,891,5,100
20029,68,1156,5,100
20030,99,653,5,100
20031,58,1421,5,100
20032,87,1166,5,100
20033,84,1226,5,100
20034,67,1184,5,100
20035,41,1369,5,100
20036,97,606,5,100
20037,40,1481,5,100
20038,59,679,5,100
20039,71,273,5,100
20040,56,409,5,100
20041,79,1057,5,100
20042,80,1273,5,100
20043,67,1452,5,100
20044,42,1036,5,100
20045,37,1011,5,100
20046,49,1255,5,100
20047,58,684,5,100
20048,34,220,5,100
20049,77,1018,5,100
20050,83,598,5,100
20051,167,4723,50,1000
20052,315,2173,50,1000
20053,402,2016,50,1000
20054,253,1205,50,1000
20055,336,3425,50,1000
20056,241,527,50,1000
20057,132,2952,50,1000
20058,378,1475,50,1000
20059,151,3205,50,1000
20060,394,2961,50,1000
20061,126,1947,50,1000
20062,481,3181,50,1000
20063,321,3912,50,1000
20064,376,4205,50,1000
20065,442,2128,50,1000
20066,408,1673,50,1000
20067,329,1218,50,1000
20068,298,2439,50,1000
20069,194,4894,50,1000
20070,113,3425,50,1000
20071,361,4847,50,1000
20072,411,4007,50,1000
20073,170,1442,50,1000
20074,455,1720,50,1000
20075,221,708,50,1000
20076,180,3046,50,1000
20077,155,3105,50,1000
20078,446,2122,50,1000
20079,437,1744,50,1000
20080,202,2920,50,1000
20081,136,4208,50,1000
20082,353,2784,50,1000
20083,223,803,50,1000
20084,253,3506,50,1000
20085,479,1181,50,1000
20086,15394,147472,1000,30000
20087,15410,107687,1000,30000
20088,20738,142137,1000,30000
20089,28675,148476,1000,30000
20090,27649,147971,1000,30000
20091,16455,114578,1000,30000
20092,23837,138555,1000,30000
20093,26098,100860,1000,30000
20094,15560,145041,1000,30000
20095,27330,142770,1000,30000
20096,36972,326224,1000,50000
20097,38165,312037,1000,50000
20098,43513,435865,1000,50000
20099,28499,220778,1000,50000
20100,26810,242798,1000,50000
