Id,SalesItemId,MinSupply,MaxSupply,OnSaleProbability
40001,10001,1,100,100
40002,10002,1,100,100
40003,10003,1,100,100
40004,10004,1,100,100
40005,10005,1,100,100
40006,10006,1,100,100
40007,10007,1,100,100
40008,10008,1,100,100
40009,10009,1,100,100
40010,10010,1,100,100
40011,10011,1,100,100
40012,10012,1,100,100
40013,10013,1,100,100
40014,10014,1,100,100
40015,10015,1,100,100
40016,10016,1,100,100
40017,10017,1,100,100
40018,10018,1,100,100
40019,10019,1,100,100
40020,10020,1,100,100
40021,10021,1,50,50
40022,10022,1,50,50
40023,10023,1,50,50
40024,10024,1,50,50
40025,10025,1,50,50
40026,10026,1,50,50
40027,10027,1,50,50
40028,10028,1,50,50
40029,10029,1,50,50
40030,10030,1,50,50
40031,10031,1,50,50
40032,10032,1,50,50
40033,10033,1,50,50
40034,10034,1,50,50
40035,10035,1,50,50
40036,10036,1,50,50
40037,10037,1,50,50
40038,10038,1,50,50
40039,10039,1,50,50
40040,10040,1,50,50
40041,10041,1,1,30
40042,10042,1,1,30
40043,10043,1,1,30
40044,10044,1,1,30
40045,10045,1,1,30
40046,10046,1,1,30
40047,10047,1,1,30
40048,10048,1,1,30
40049,10049,1,1,30
40050,10050,1,1,30
