Id,String
0,
500,EmptyString
910001, 胡萝卜
910002, 玉米
910003, 鸡蛋
910004, 鱼
910005, 大蒜
910006, 大葱
910007, 香草
910008, 蘑菇
910009, 土豆
910010, 卷心菜
910011, 海藻
910012, 番茄
910013, 萝卜
910014, 核桃
910015, 稻
910016, 苹果
910017, 蜂蜜
910018, 柠檬
910019, 牛奶
910020, 橙子
910021, 啤酒
910022, 面包
910023, 奶酪
910024, 煎蛋
910025, 葡萄酒
910026, 背包
910027, 药水
910028, 披风
910029, 绳子
910030, 钓鱼竿
910031, 指南针
910032, 骰子
910033, 巨型锤子
910034, 镜子
910035, 盾牌
910036, 书_1
910037, 书_2
910038, 书_3
910039, 专业书_1
910040, 专业书_2
910041, 蛤蜊
910042, 水晶
910043, 护身符
910044, 金钥匙
910045, 银锭
910046, 金戒指
910047, 古代头盔
910048, 古代匕首
910049, 金锭
910050, 钻石
911001, 兔子最爱的零食，充满维生素A！
911002, 还没变成爆米花的普通状态
911003, 煮得好是煎蛋，煮得不好就是紧急投掷武器！
911004, 猫咪梦寐以求的晚餐菜单
911005, 靠强烈的气味也许能击退敌人 ?
911006, 切碎撒上去，料理瞬间变得魔法般完美
911007, 仅仅香气就能让人心情愉快的神奇叶子
911008, 直接吃可能会有危险，要分清楚哦
911009, 薯条简直是神的食物
911010, 减肥餐的常客
911011, 带有海洋气息的绿草
911012, 是水果还是蔬菜？都不是，是“美味的原料”
911013, 冒险后来碗清爽的汤正合适！
911014, 打开“核桃”，会释放出智慧和能量
911015, 米饭是餐桌上不可或缺的英雄
911016, 一天一个，就不愁看医生了
911017, 自然的甜蜜充满整个口腔
911018, 酸酸的又清爽！恢复疲劳，来一个怎么样？
911019, 强健骨骼的秘密，还有饼干的永远搭档
911020, 像太阳一样的金色水果
911021, 和朋友聚会必备，但别喝太多哦！
911022, 让人安心的冒险者伴侣
911023, 越陈越香的神秘风味
911024, 早餐代表作，熟度随你挑选！
911025, 高贵氛围的完美呈现
911026, 所有冒险者必备，内含众多物品
911027, 喝了能让体力和魔法值暴涨!
911028, 虽然不会飞，但也能帅气十足
911029, 用途无限的结实绳子
911030, 等待的美学
911031, 会指引方向的好朋友
911032, 骰子已经掷出
911033, 一击就能结束战斗的强力武器
911034, 镜子，镜子，谁是最棒的商人？
911035, 这面盾牌能抵挡任何长枪!
911036, 适合初学者的轻松读物
911037, 为冒险者准备的实用小贴士集
911038, 那本厚厚的书，看着就想当枕头用呢，要不要试试 ?
911039, 据说只有魔法师才会读的稀有书籍
911040, 充满高级技术的晦涩书籍
911041, 传说海洋的宝藏，那闪亮的贝壳非常美丽
911042, 蕴含神秘能量的闪亮石头
911043, 据说能带来好运的项链
911044, 用途不明的钥匙，但因为是金做的，所以很值钱
911045, 银色光泽如月光般美丽
911046, 小心！可能会有诅咒哦
911047, 古代战士使用的头盔
911048, 据说是古代祭司使用的祭祀工具
911049, 黄金永不背叛
911050, 蕴含光芒的宝石，象征着巨大的财富
950001,正因为及时降雨，<color=#FFFF00>{0}</color>的收成增加了，价格下降了。
950002,开发了新的耕作法，<color=#FFFF00>{0}</color>的产量增加了，价格下降了。
950003,流浪汉们抢购了<color=#FFFF00>{0}</color>，价格上涨了。
950004,由于自然灾害，<color=#FFFF00>{0}</color>歉收，价格上涨了。
950005,在农民中，种植<color=#FFFF00>{0}</color>很受欢迎，价格下降了。
950006,由于与其他国家的贸易，<color=#FFFF00>{0}</color>的供应增加了，价格下降了。
950007,由于自然灾害，<color=#FFFF00>{0}</color>歉收，价格上涨了。
950008,<color=#FFFF00>{0}</color>在民间流行，价格上涨了。
950009,由于节日影响，销售<color=#FFFF00>{0}</color>的商人增多了，价格下降了。
950010,由于原料供应顺畅，<color=#FFFF00>{0}</color>大量生产，价格下降了。
950011,在贵族中，<color=#FFFF00>{0}</color>很受欢迎，价格上涨了。
950012,传闻<color=#FFFF00>{0}</color>是健康食品，价格上涨了。
