Id,String
0,
500,EmptyString
910001, 당근
910002, 옥수수
910003, 계란
910004, 생선
910005, 마늘
910006, 대파
910007, 허브
910008, 버섯
910009, 감자
910010, 양배추
910011, 해초
910012, 토마토
910013, 무
910014, 호두
910015, 벼
910016, 사과
910017, 벌꿀
910018, 레몬
910019, 우유
910020, 오렌지
910021, 맥주
910022, 빵
910023, 치즈
910024, 계란 후라이
910025, 와인
910026, 가방
910027, 포션
910028, 망토
910029, 밧줄
910030, 낚싯대
910031, 나침반
910032, 주사위
910033, 거대 망치
910034, 거울
910035, 방패
910036, 책_1
910037, 책_2
910038, 책_3
910039, 전문 서적_1
910040, 전문 서적_2
910041, 가리비
910042, 크리스탈
910043, 아뮬렛
910044, 금 열쇠
910045, 은 주괴
910046, 금 반지
910047, 고대 투구
910048, 고대 단검
910049, 금 주괴
910050, 다이아몬드
911001,"토끼가 가장 좋아하는 간식, 비타민 A 가득!"
911002,팝콘이 되기 전의 평범한 상태
911003,"잘 익히면 계란 후라이, 안 익히면 비상용 던지기 무기"
911004,고양이들의 꿈의 저녁 메뉴
911005,강력한 냄새로 적을 물리칠 수도 있을지도?
911006,썰어서 얹으면 요리의 마법 같은 마무리
911007,향기만으로도 기분이 좋아지는 신비의 풀잎
911008,그냥 먹으면 위험할 수도 있으니 구분 잘해야 함
911009,감자 튀김은 신의 음식이야
911010,다이어트 식단의 단골손님
911011,바다의 향이 담긴 초록속 풀떼기
911012,"과일인가, 채소인가? 둘 다 아님 ""맛있는 재료""임"
911013,모험 후 시원한 국물에 딱!
911014,"""호두""를 열어보면 지혜와 에너지가 나온다"
911015,"""밥""상을 책임지는 일등 공신"
911016,하루에 하나면 의사가 필요 없다고 함
911017,입안 가득 퍼지는 자연의 달콤함
911018,시큼한데 상큼! 피로 회복을 위해 하나 어때요?
911019,"강한 뼈의 비밀, 그리고 쿠키의 영원한 짝꿍"
911020,태양을 닮은 황금빛 과일
911021,"친구들과의 파티 필수템, 하지만 과음은 금물!"
911022,속이 든든해지는 모험가의 동반자
911023,숙성될수록 깊어지는 풍미의 신비
911024,"아침 식사 대표주자, 익힘 정도는 취향껏!"
911025,고급스러운 분위기의 완성
911026,"모든 모험가의 필수품, 아이템이 가득 들어감"
911027,마시면 체력과 마나가 쑥쑥!
911028,날 수는 없지만 멋은 낼 수 있음
911029,용도가 무궁무진한 단단한 밧줄
911030,기다림의 미학
911031,방향을 알려주는 착한 친구
911032,주사위는 던져졌다
911033,한 방이면 끝나는 강력한 무기
911034,"거울아, 거울아 누가 최고의 상인이니?"
911035,이 방패는 어떤 창이라도 막습니다!
911036,초보 독서가를 위한 가벼운 읽을거리
911037,모험가를 위한 실용적인 팁 모음집
911038,읽다가 잠들 것 같은 묵직한 책 베개로 써 버릴까?
911039,마법사들만 읽는다는 희귀 서적
911040,고급 기술이 가득한 난해한 책
911041,"바다의 보물, 빛나는 껍질은 아름답다고 소문이 나있다"
911042,신비한 에너지가 깃든 빛나는 돌
911043,행운과 가져다준다는 목걸이
911044,"용도 모를 열쇠, 금으로 만들어져 가치는 있다"
911045,은빛 광택이 달빛처럼 아름답다
911046,조심해! 저주가 있을지도 몰라
911047,고대 전사들이 쓰던 투구
911048,고대 제사장이 썼다는 제사용 도구
911049,금은 언제나 배신하지 않아
911050,"빛을 담은 보석, 엄청난 부의 상징"
950001,시기 적절하게 비가 온 덕분에 <color=#FFFF00>{0}</color>의 수확량이 늘었습니다. 가격이 하락합니다.
950002,새로운 농법이 개발되었습니다.<color=#FFFF00>{0}</color>의 수확량이 늘었습니다. 가격이 하락합니다.
950003,부랑자들이 <color=#FFFF00>{0}</color>을 휩쓸었습니다. 가격이 상승합니다.
950004,"자연재해의 영향으로, <color=#FFFF00>{0}</color>이 흉작입니다. 가격이 상승합니다."
950005,농인들 사이에서의 <color=#FFFF00>{0}</color>농사가 인기입니다. 가격이 하락합니다.
