Id,String
0,
500,EmptyString
910001,Carrot
910002,Corn
910003,Egg
910004,Fish
910005,Garlic
910006,Scallion
910007,Herb
910008,Mushroom
910009,Potato
910010,Cabbage
910011,Seaweed
910012,Tomato
910013,Radish
910014,Walnut
910015,Rice
910016,Apple
910017,Honey
910018,Lemon
910019,Milk
910020,Orange
910021,Beer
910022,Bread
910023,Cheese
910024,Fried Egg
910025,Wine
910026,Bag
910027,Potion
910028,Cloak
910029,Rope
910030,Fishing Rod
910031,Compass
910032,Dice
910033,Giant Hammer
910034,Mirror
910035,Shield
910036,Book_1
910037,Book_2
910038,Book_3
910039,Specialized Book_1
910040,Specialized Book_2
910041,Scallop
910042,Crystal
910043,Amulet
910044,Gold Key
910045,Silver Ingot
910046,Gold Ring
910047,Ancient Helmet
910048,Ancient Dagger
910049,Gold Ingot
910050,Diamond
911001,"The rabbit's favorite snack, packed with Vitamin A!"
911002,In its ordinary state before becoming popcorn.
911003,"When cooked well, it's a fried egg; when undercooked, it serves as an emergency throwing weapon."
911004,The dream dinner menu for cats.
911005,Its strong aroma might even repel enemies.
911006,"Chopped and added, it brings a magical finish to the dish."
911007,A mysterious leaf that lifts your mood just with its fragrance.
911008,Be careful—eating it as is might be dangerous, so it must be properly identified.
911009,French fries are the food of the gods.
911010,A regular on any diet menu.
911011,A cluster of greens imbued with the scent of the sea.
911012,"Is it a fruit or a vegetable? Neither, it's a ""delicious ingredient""."
911013,Perfect with a refreshing broth after an adventure!
911014,"Crack open a ""walnut"" and you'll find wisdom and energy."
911015,"The top contributor responsible for the ""rice table""."
911016,They say one a day keeps the doctor away.
911017,Nature's sweetness that fills your mouth.
911018,"Tart but zesty! How about one for fatigue recovery?"
911019,"The secret to strong bones, and the eternal partner of cookies."
911020,A golden fruit resembling the sun.
911021,"A party essential with friends, but remember, no overdrinking!"
911022,A companion that fills an adventurer up.
911023,A mysterious flavor that deepens with age.
911024,"The breakfast staple—cook it to your liking!"
911025,The finishing touch to an elegant ambiance.
911026,"Every adventurer's must-have, packed with items."
911027,Drink it and watch your health and mana skyrocket!
911028,It can't fly, but it sure looks cool.
911029,A sturdy rope with endless possibilities.
911030,The art of waiting.
911031,A kind friend that shows you the way.
911032,The dice have been cast.
911033,A powerful weapon that can finish things in one blow.
911034,"Mirror, mirror, who is the greatest merchant of all?"
911035,This shield can block any spear!
911036,Light reading for beginner bookworms.
911037,A collection of practical tips for adventurers.
911038,"Shall we use this hefty book as a pillow, so heavy it might put you to sleep?"
911039,A rare tome said to be read only by wizards.
911040,An enigmatic book filled with advanced techniques.
911041,"A treasure of the sea, its radiant shell is rumored to be beautiful."
911042,A glowing stone imbued with mysterious energy.
911043,A necklace said to bring luck.
911044,"A key of unknown purpose, but made of gold, so it's valuable."
911045,Its silvery shine is as beautiful as moonlight.
911046,Be careful! It might be cursed.
911047,A helmet once worn by ancient warriors.
911048,A ritual tool said to have been used by ancient priests.
911049,Gold never betrays.
911050,"A gem that holds light, a symbol of immense wealth."
950001,"Thanks to timely rain, the harvest of <color=#FFFF00>{0}</color> has increased. Prices are falling."
950002,"A new farming method has been developed. The yield of <color=#FFFF00>{0}</color> has increased. Prices are falling."
950003,"Beggars have swept through <color=#FFFF00>{0}</color>. Prices are rising."
950004,"Due to natural disasters, there is a poor harvest of <color=#FFFF00>{0}</color>. Prices are rising."
950005,"Farming <color=#FFFF00>{0}</color> is popular among the farmers. Prices are falling."
950006,"Due to trade with other countries, the supply of <color=#FFFF00>{0}</color> has increased. Prices are falling."
950007,"Due to natural disasters, there is a poor harvest of <color=#FFFF00>{0}</color>. Prices are rising."
950008,"<color=#FFFF00>{0}</color> is trending among people. Prices are rising."
950009,"Due to the festival, the number of merchants selling <color=#FFFF00>{0}</color> has increased. Prices are falling."
950010,"Due to smooth material supply, a lot of <color=#FFFF00>{0}</color> is being produced. Prices are falling."
950011,"Among the nobility, <color=#FFFF00>{0}</color> is popular. Prices are rising."
