Id,String
0,
500,空文字列
910001,にんじん
910002,とうもろこし
910003,卵
910004,魚
910005,にんにく
910006,長ねぎ
910007,ハーブ
910008,きのこ
910009,じゃがいも
910010,キャベツ
910011,海藻
910012,トマト
910013,大根
910014,くるみ
910015,稲
910016,りんご
910017,はちみつ
910018,レモン
910019,牛乳
910020,オレンジ
910021,ビール
910022,パン
910023,チーズ
910024,目玉焼き
910025,ワイン
910026,バッグ
910027,ポーション
910028,マント
910029,ロープ
910030,釣り竿
910031,コンパス
910032,サイコロ
910033,巨大なハンマー
910034,鏡
910035,盾
910036,本_1
910037,本_2
910038,本_3
910039,専門書_1
910040,専門書_2
910041,ホタテ
910042,クリスタル
910043,アミュレット
910044,金の鍵
910045,銀の延べ棒
910046,金の指輪
910047,古代の兜
910048,古代の短剣
910049,金の延べ棒
910050,ダイヤモンド
911001,"ウサギが大好きなおやつ、ビタミンAたっぷり！"
911002,ポップコーンになる前の普通の状態
911003,"よく焼けば目玉焼きに、焼けなければ非常用の投げ武器に"
911004,猫たちの夢のディナーメニュー
911005,強烈な匂いで敵を撃退できるかもしれない？
911006,刻んで載せれば、料理に魔法のような仕上がり
911007,香りだけで気分が上がる不思議な葉っぱ
911008,そのまま食べると危険かもしれないので、区別が必要
911009,ポテトフライは神の食べ物だ
911010,ダイエットメニューの常連
911011,海の香りが漂う緑の藻類
911012,"果物か野菜か？どちらでもなく、「美味しい材料」だ"
911013,冒険の後のさっぱりしたスープにぴったり！
911014,"「くるみ」を割ると、知恵とエネルギーが溢れる"
911015,"「ごはん」テーブルを支える第一の功労者"
911016,一日一個で医者いらずと言われる
911017,口いっぱいに広がる自然の甘み
911018,すっぱくてさわやか！ 疲労回復にいかが？
911019,"強い骨の秘密、そしてクッキーの永遠の相棒"
911020,太陽に似た黄金色の果実
911021,"友達とのパーティー必需品、でも飲みすぎ注意！"
911022,冒険者の心強い相棒
911023,熟成するほどに深まる風味の神秘
911024,"朝食の代表格、焼き加減はお好みで！"
911025,上品な雰囲気の完成
911026,"すべての冒険者必携、アイテムが満載"
911027,飲めば体力とマナが急上昇！
911028,飛べないけど、かっこよさは出せる
911029,用途が無限な頑丈なロープ
911030,待つことの美学
911031,方向を示してくれる親切な友達
911032,サイコロは投げられた
911033,一撃で決まる強力な武器
911034,"鏡よ、鏡よ、誰が最高の商人なの？"
911035,この盾はどんな槍でも防げる！
911036,初心者向けの軽い読み物
911037,冒険者向けの実用的なヒント集
911038,読みながら寝てしまいそうな重い本、枕にでもできるかな？
911039,魔法使いだけが読むという希少な書物
911040,高度な技術が満載の難解な本
911041,"海の宝、輝く殻は美しいと噂されている"
911042,神秘的なエネルギーを宿した輝く石
911043,幸運をもたらすと言われるネックレス
911044,"用途不明の鍵、金で作られているので価値がある"
911045,銀色の輝きは月光のように美しい
911046,気をつけて！呪いがあるかもしれない
911047,古代戦士が着用していた兜
911048,古代の祭司が使ったとされる祭具
911049,金は決して裏切らない
911050,"光を宿す宝石、莫大な富の象徴"
950001,"ちょうど良い雨のおかげで、<color=#FFFF00>{0}</color>の収穫量が増えました。価格は下がります。"
950002,"新しい農法が開発され、<color=#FFFF00>{0}</color>の収穫量が増えました。価格は下がります。"
950003,"浮浪者たちが<color=#FFFF00>{0}</color>を席巻しました。価格は上がります。"
950004,"自然災害の影響で、<color=#FFFF00>{0}</color>の不作となりました。価格は上昇します。"
950005,"農民の間で<color=#FFFF00>{0}</color>の農作物が人気です。価格は下がります。"
950006,"他国との貿易により、<color=#FFFF00>{0}</color>の供給が増えました。価格は下がります。"
950007,"自然災害の影響で、<color=#FFFF00>{0}</color>の不作となりました。価格は上昇します。"
950008,"<color=#FFFF00>{0}</color>は人々の間で流行しています。価格は上がります。"
950009,"祭りの影響で、<color=#FFFF00>{0}</color>を販売する商人が増えました。価格は下がります。"
950010,"原料の調達が順調で、<color=#FFFF00>{0}</color>が大量に生産されています。価格は下がります。"
950011,"貴族の間で、<color=#FFFF00>{0}</color>が人気です。価格は上がります。"
950012,"<color=#FFFF00>{0}</color>が健康食品だという噂が広まりました。価格は上昇します。"
950013,"製法が漏洩し、<color=#FFFF00>{0}</color>を作る職人が増えました。価格は下がります。"
950014,"<color=#FFFF00>{0}</color>が悪霊を呼ぶと噂され、価格は下がります。"
950015,"人々は<color=#FFFF00>{0}</color>を必需品とみなし、価格は上がります。"
950016,"景気が低迷しており、<color=#FFFF00>{0}</color>を売る商人の数が減少しました。"
950017,"近隣諸国で戦争が勃発し、<color=#FFFF00>{0}</color>を求める人が減少しました。価格は下がります。"
950018,"<color=#FFFF00>{0}</color>の内容が粗悪だという噂があり、価格は下がります。"
950019,"書籍に興味を持つ人が増え、<color=#FFFF00>{0}</color>が人気です。"
950020,"もうすぐ重要な試験が始まります。<color=#FFFF00>{0}</color>の価格は上昇します。"
950021,生産性の低下により、食料品の供給量が減少します.
950022,生産性の低下により、食料品の供給量が増加します.
950023,0
950024,0
950025,0
950026,0
950027,0
950028,0
950029,0
950030,0
950031,0
950032,0
950033,0
950034,0
950035,0
950036,0
950037,0
950038,0
950039,0
950040,0
950041,0
950501,"ちょうど良い雨のおかげで、<color=#FFFF00>{0}</color>の収穫量が増えました。価格は下がります。"
950502,"新しい農法が開発され、<color=#FFFF00>{0}</color>の収穫量が増えました。価格は下がります。"
950503,"浮浪者たちが<color=#FFFF00>{0}</color>を席巻しました。価格は上がります。"
950504,"自然災害の影響で、<color=#FFFF00>{0}</color>の不作となりました。価格は上昇します。"
950505,"農民の間で<color=#FFFF00>{0}</color>の農作物が人気です。価格は下がります。"
950506,"他国との貿易により、<color=#FFFF00>{0}</color>の供給が増えました。価格は下がります。"
950507,"自然災害の影響で、<color=#FFFF00>{0}</color>の不作となりました。価格は上昇します。"
950508,"<color=#FFFF00>{0}</color>は人々の間で流行しています。価格は上がります。"
950509,"祭りの影響で、<color=#FFFF00>{0}</color>を販売する商人が増えました。価格は下がります。"
950510,"原料の調達が順調で、<color=#FFFF00>{0}</color>が大量生産されています。価格は下がります。"
950511,"貴族の間で、<color=#FFFF00>{0}</color>が人気です。価格は上がります。"
950512,"<color=#FFFF00>{0}</color>が健康食品だという噂が広まりました。価格は上昇します。"
950513,"製法が漏洩し、<color=#FFFF00>{0}</color>を作る職人が増えました。価格は下がります。"
950514,"<color=#FFFF00>{0}</color>が悪霊を呼ぶと噂され、価格は下がります。"
950515,"人々は<color=#FFFF00>{0}</color>を必需品とみなし、価格は上がります。"
950516,"景気が低迷しており、<color=#FFFF00>{0}</color>を売る商人の数が減少しました。"
950517,"近隣諸国で戦争が勃発し、<color=#FFFF00>{0}</color>を求める人が減少し、価格は下がります。"
950518,"<color=#FFFF00>{0}</color>の内容が雑だと噂され、価格は下がります。"
950519,"書籍に興味を持つ人が増え、<color=#FFFF00>{0}</color>が人気です。"
950520,"もうすぐ重要な試験が始まります。<color=#FFFF00>{0}</color>の価格は上昇します。"
950521,生産性の低下により、食料品の供給量が減少します.
950522,生産性の低下により、食料品の供給量が増加します.
998001,"ヒント :_n商品の価格は毎日変わります。変わらないこともありますが。"
998002,"ヒント :_n掲示板を見るとトレンドがわかります。どの商品を売買すべきでしょうか？"
998003,"ヒント :_nインベントリの平均価格を参考にして、売買のタイミングを見極めましょう。"
998004,"ヒント :_n宿屋に投資すると、毎日一定の収益が得られます！"
998005,"ヒント :_nランダムボックスには1～5個の商品が入っています。右側の箱には少し良い物が入っています。"
